"Series;""Time"";""Value""",
"PM10;""2018-12-04T07:00:00+01:00"";2",368
"PM10;""2018-12-04T07:15:00+01:00"";2",383
"PM10;""2018-12-04T07:30:00+01:00"";2",392
"PM10;""2018-12-04T07:45:00+01:00"";2",423
"PM10;""2018-12-04T08:00:00+01:00"";2",438
"PM10;""2018-12-04T08:15:00+01:00"";2",442
"PM10;""2018-12-04T08:30:00+01:00"";2",438
"PM10;""2018-12-04T08:45:00+01:00"";2",468
"PM10;""2018-12-04T09:00:00+01:00"";2",485
"PM10;""2018-12-04T09:15:00+01:00"";2",495
"PM10;""2018-12-04T09:30:00+01:00"";2",473
"PM10;""2018-12-04T09:45:00+01:00"";2",458
"PM10;""2018-12-04T10:00:00+01:00"";2",463
"PM10;""2018-12-04T10:15:00+01:00"";2",465
"PM10;""2018-12-04T10:30:00+01:00"";2",472
"PM10;""2018-12-04T10:45:00+01:00"";2",472
"PM10;""2018-12-04T11:00:00+01:00"";2",454
"PM10;""2018-12-04T11:15:00+01:00"";2",461
"PM10;""2018-12-04T11:30:00+01:00"";2",479
"PM10;""2018-12-04T11:45:00+01:00"";2",518
"PM10;""2018-12-04T12:00:00+01:00"";2",526
"PM10;""2018-12-04T12:15:00+01:00"";2",548
"PM10;""2018-12-04T12:30:00+01:00"";2",591
"PM10;""2018-12-04T12:45:00+01:00"";2",596
"PM10;""2018-12-04T13:00:00+01:00"";2",595
"PM10;""2018-12-04T13:15:00+01:00"";2",603
"PM10;""2018-12-04T13:30:00+01:00"";2",615
"PM10;""2018-12-04T13:45:00+01:00"";2",643
"PM10;""2018-12-04T14:00:00+01:00"";2",664
"PM10;""2018-12-04T14:15:00+01:00"";2",677
"PM10;""2018-12-04T14:30:00+01:00"";2",686
"PM10;""2018-12-04T14:45:00+01:00"";2",69
"PM10;""2018-12-04T15:00:00+01:00"";2",699
"PM10;""2018-12-04T15:15:00+01:00"";2",741
"PM10;""2018-12-04T15:30:00+01:00"";2",782
"PM10;""2018-12-04T15:45:00+01:00"";2",778
"PM10;""2018-12-04T16:00:00+01:00"";2",78
"PM10;""2018-12-04T16:15:00+01:00"";2",792
"PM10;""2018-12-04T16:30:00+01:00"";2",793
"PM10;""2018-12-04T16:45:00+01:00"";2",798
"PM10;""2018-12-04T17:00:00+01:00"";2",853
"PM10;""2018-12-04T17:15:00+01:00"";2",864
"PM10;""2018-12-04T17:30:00+01:00"";2",857
"PM10;""2018-12-04T17:45:00+01:00"";2",846
"PM10;""2018-12-04T18:00:00+01:00"";2",822
